record_id_1,record_id_2
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,a37a11ec-c9f9-408a-8f81-b86a078631e5
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,b37dd60e-3992-4f87-a6eb-8d5e8b09f7be
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,cfc4849a-c82b-49fa-838e-5877542c7248
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,d4c5bcc6-96b0-4228-9955-cb3cc3364e45
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,d68acec4-585d-49b4-ab44-41f053dcf60a
02bf8671-70b6-4f01-bf7c-3f81ced30bb6,d7cae134-8315-4db3-8b08-830741844620
02cbaf05-80f2-465f-9638-aa1860223aba,0aca438a-be5a-4f22-b8a4-8e49cc739736
02cbaf05-80f2-465f-9638-aa1860223aba,2a00e7f7-1c2d-4292-bb9e-7752b7be6202
02cbaf05-80f2-465f-9638-aa1860223aba,60d1a991-9b3f-4774-9cf4-c113b39a197d
02cbaf05-80f2-465f-9638-aa1860223aba,6c1f478c-05c4-4ea2-9bd3-6dc00a38d160
02cbaf05-80f2-465f-9638-aa1860223aba,7356ed75-d237-4c77-88d4-99e5a7235a72
02cbaf05-80f2-465f-9638-aa1860223aba,bbe880ab-b03c-4281-8b80-4b385c7e50f8
02cbaf05-80f2-465f-9638-aa1860223aba,c2866922-660d-4277-bed1-1363ea82837a
02cbaf05-80f2-465f-9638-aa1860223aba,de7ba852-3493-4c50-a3aa-ea167873bf12
02cbaf05-80f2-465f-9638-aa1860223aba,e798ffe8-5299-43ae-b5ae-f9e7b5a56874
02cbaf05-80f2-465f-9638-aa1860223aba,f7051895-80ea-4603-93ad-1a6f9eb7ad20
0310060b-72bd-4783-a097-508dd0c87fdc,568c3ae1-084d-4af1-9d15-8a49b4e55fca
0310060b-72bd-4783-a097-508dd0c87fdc,5b3628df-2400-4381-878e-312eeb9a0611
0310060b-72bd-4783-a097-508dd0c87fdc,64b65de9-7bd6-41fa-b991-e65b91e6c09d
0310060b-72bd-4783-a097-508dd0c87fdc,6596d2a4-1640-40c1-a535-e51bc84b8ece
0310060b-72bd-4783-a097-508dd0c87fdc,7ddb80bc-925e-4480-8a8e-7c20a04802bf
0310060b-72bd-4783-a097-508dd0c87fdc,7f45bf8d-0987-4667-85aa-e8245d660196
0310060b-72bd-4783-a097-508dd0c87fdc,922bfa02-6c50-44e8-b2cb-896bb3d20b86
0310060b-72bd-4783-a097-508dd0c87fdc,9aeae7f8-48e1-408c-911f-fb73b8ce3fdb
0310060b-72bd-4783-a097-508dd0c87fdc,a7ba47f5-d846-4cab-8755-f89fb7639e2e
0310060b-72bd-4783-a097-508dd0c87fdc,fb8bfcc4-f09c-4879-84ae-511b6a36677d
03163970-ed60-4212-ac91-709cdf59ee7f,0aca438a-be5a-4f22-b8a4-8e49cc739736
03163970-ed60-4212-ac91-709cdf59ee7f,2a00e7f7-1c2d-4292-bb9e-7752b7be6202
03163970-ed60-4212-ac91-709cdf59ee7f,60d1a991-9b3f-4774-9cf4-c113b39a197d
